#band: central wavelength of the passband of the observation in nm
#time: time of the observation in days
#fluxcal: simulated observed flux (from SNANA)
#fluxcalerr: error of fluxcal
#processing: which processing was done to get the datapoint
band,time,fluxcal,fluxcalerr,processing
u,0.0,-4.599883556365967,9.182032585144043,raw
u,0.25600000000122236,10.45852279663086,11.094033241271973,raw
u,2.2669000000023516,6.334054946899414,8.661219596862793,raw
u,33.149499999999534,0.4715123772621155,5.6547040939331055,raw
u,298.2690999999977,1.304099202156067,8.704296112060547,raw
u,362.2604999999967,-18.452434539794922,14.467315673828125,raw
u,391.1472999999969,0.8099026679992676,6.40933084487915,raw
u,0.0,NaN,NaN,gp
u,3.950982828282797,NaN,NaN,gp
u,7.901965656565594,NaN,NaN,gp
u,11.85294848484839,NaN,NaN,gp
u,15.803931313131187,NaN,NaN,gp
u,19.754914141413984,NaN,NaN,gp
u,23.70589696969678,NaN,NaN,gp
u,27.656879797979578,NaN,NaN,gp
u,31.607862626262374,NaN,NaN,gp
u,35.55884545454517,NaN,NaN,gp
u,39.50982828282797,NaN,NaN,gp
u,43.460811111110765,NaN,NaN,gp
u,47.41179393939356,NaN,NaN,gp
u,51.36277676767636,NaN,NaN,gp
u,55.313759595959155,NaN,NaN,gp
u,59.26474242424195,NaN,NaN,gp
u,63.21572525252475,NaN,NaN,gp
u,67.16670808080755,NaN,NaN,gp
u,71.11769090909034,NaN,NaN,gp
u,75.06867373737313,NaN,NaN,gp
u,79.01965656565594,NaN,NaN,gp
u,82.97063939393874,NaN,NaN,gp
u,86.92162222222153,NaN,NaN,gp
u,90.87260505050432,NaN,NaN,gp
u,94.82358787878712,NaN,NaN,gp
u,98.77457070706993,NaN,NaN,gp
u,102.72555353535272,NaN,NaN,gp
u,106.6765363636355,NaN,NaN,gp
u,110.62751919191831,NaN,NaN,gp
u,114.57850202020111,NaN,NaN,gp
u,118.5294848484839,NaN,NaN,gp
u,122.4804676767667,NaN,NaN,gp
u,126.4314505050495,NaN,NaN,gp
u,130.3824333333323,NaN,NaN,gp
u,134.3334161616151,NaN,NaN,gp
u,138.28439898989788,NaN,NaN,gp
u,142.23538181818068,NaN,NaN,gp
u,146.1863646464635,NaN,NaN,gp
u,150.13734747474626,NaN,NaN,gp
u,154.08833030302907,NaN,NaN,gp
u,158.03931313131187,NaN,NaN,gp
u,161.99029595959468,NaN,NaN,gp
u,165.94127878787748,NaN,NaN,gp
u,169.89226161616025,NaN,NaN,gp
u,173.84324444444306,NaN,NaN,gp
u,177.79422727272586,NaN,NaN,gp
u,181.74521010100864,NaN,NaN,gp
u,185.69619292929144,NaN,NaN,gp
u,189.64717575757425,NaN,NaN,gp
u,193.59815858585705,NaN,NaN,gp
u,197.54914141413985,NaN,NaN,gp
u,201.50012424242263,NaN,NaN,gp
u,205.45110707070543,NaN,NaN,gp
u,209.40208989898824,NaN,NaN,gp
u,213.353072727271,NaN,NaN,gp
u,217.30405555555382,NaN,NaN,gp
u,221.25503838383662,NaN,NaN,gp
u,225.20602121211942,NaN,NaN,gp
u,229.15700404040223,NaN,NaN,gp
u,233.107986868685,NaN,NaN,gp
u,237.0589696969678,NaN,NaN,gp
u,241.0099525252506,NaN,NaN,gp
u,244.9609353535334,NaN,NaN,gp
u,248.9119181818162,NaN,NaN,gp
u,252.862901010099,NaN,NaN,gp
u,256.8138838383818,NaN,NaN,gp
u,260.7648666666646,NaN,NaN,gp
u,264.7158494949474,NaN,NaN,gp
u,268.6668323232302,NaN,NaN,gp
u,272.61781515151296,NaN,NaN,gp
u,276.56879797979576,NaN,NaN,gp
u,280.51978080807856,NaN,NaN,gp
u,284.47076363636137,NaN,NaN,gp
u,288.4217464646442,NaN,NaN,gp
u,292.372729292927,NaN,NaN,gp
u,296.3237121212098,NaN,NaN,gp
u,300.2746949494925,NaN,NaN,gp
u,304.22567777777533,NaN,NaN,gp
u,308.17666060605814,NaN,NaN,gp
u,312.12764343434094,NaN,NaN,gp
u,316.07862626262374,NaN,NaN,gp
u,320.02960909090655,NaN,NaN,gp
u,323.98059191918935,NaN,NaN,gp
u,327.93157474747215,NaN,NaN,gp
u,331.88255757575496,NaN,NaN,gp
u,335.8335404040377,NaN,NaN,gp
u,339.7845232323205,NaN,NaN,gp
u,343.7355060606033,NaN,NaN,gp
u,347.6864888888861,NaN,NaN,gp
u,351.6374717171689,NaN,NaN,gp
u,355.5884545454517,NaN,NaN,gp
u,359.53943737373453,NaN,NaN,gp
u,363.4904202020173,NaN,NaN,gp
u,367.4414030303001,NaN,NaN,gp
u,371.3923858585829,NaN,NaN,gp
u,375.3433686868657,NaN,NaN,gp
u,379.2943515151485,NaN,NaN,gp
u,383.2453343434313,NaN,NaN,gp
u,387.1963171717141,NaN,NaN,gp
u,391.1472999999969,NaN,NaN,gp
g,0.0,-3.051485300064087,4.18444299697876,raw
g,22.054800000005343,-0.7693901062011719,4.397204875946045,raw
g,76.92150000000402,11.096569061279297,6.845029830932617,raw
g,76.98210000000108,-2.400195360183716,6.207946300506592,raw
g,106.87100000000646,13.672466278076172,4.259757041931152,raw
g,106.89040000000386,-3.463329553604126,4.290524482727051,raw
g,118.80510000000504,2.636751413345337,4.648448944091797,raw
g,321.1143000000011,-2.5341367721557617,4.890125751495361,raw
g,411.05080000000453,-2.92075514793396,5.500044822692871,raw
g,439.9377000000022,-3.3194282054901123,4.099374771118164,raw
g,0.0,-0.33910875755669084,1.6173135024320124,gp
g,4.443815151515174,-0.3045889985050053,1.6061231435097056,gp
g,8.887630303030347,-0.2572407962480847,1.5995567718657622,gp
g,13.33144545454552,-0.19886471429359526,1.5966711554188426,gp
g,17.775260606060694,-0.13067051753460857,1.5971489690227936,gp
g,22.21907575757587,-0.05335584626458827,1.6013021983293376,gp
g,26.66289090909104,0.03253380850601867,1.6092507084795207,gp
g,31.106706060606214,0.12577306766394553,1.619039181618528,gp
g,35.55052121212139,0.22519733833548383,1.6285766862766518,gp
g,39.99433636363656,0.32984935811259103,1.6362434303983107,gp
g,44.43815151515174,0.43889250535884067,1.6408732325618136,gp
g,48.88196666666691,0.5515268793654594,1.6417030790929799,gp
g,53.32578181818208,0.6669049377385686,1.6383248220741486,gp
g,57.769596969697254,0.7840434425572317,1.6306565962207722,gp
g,62.21341212121243,0.9017283305138916,1.6189406550462029,gp
g,66.65722727272761,1.018408881286317,1.6037666377136774,gp
g,71.10104242424278,1.132077205715288,1.5861110799400338,gp
g,75.54485757575794,1.2401286007738925,1.5673713712909898,gp
g,79.98867272727313,1.3394838636986133,1.5491818302181963,gp
g,84.4324878787883,1.4290739997653854,1.5316623639841087,gp
g,88.87630303030348,1.5085288332010016,1.5142878379917042,gp
g,93.32011818181864,1.5764092980105364,1.4973069167069346,gp
g,97.76393333333382,1.6300874475637974,1.4819686205635005,gp
g,102.20774848484899,1.6656026452764743,1.4706429192513675,gp
g,106.65156363636416,1.6774671580951488,1.4667911656375558,gp
g,111.09537878787934,1.6608212783213765,1.4736691323727429,gp
g,115.53919393939451,1.6198990812166816,1.4903092647214111,gp
g,119.98300909090969,1.56031403560484,1.5149657527872271,gp
g,124.42682424242486,1.4868312320322818,1.5456428878200832,gp
g,128.87063939394002,1.4042003351271417,1.5792570802701749,gp
g,133.31445454545522,1.3162373168910215,1.613350945753916,gp
g,137.7582696969704,1.2258847274134999,1.6462428828899338,gp
g,142.20208484848555,1.135378211228278,1.6768851719501645,gp
g,146.64590000000072,1.0463838228114983,1.7047067414611592,gp
g,151.0897151515159,0.9601109998948768,1.7294741247854375,gp
g,155.53353030303109,0.8774052715363075,1.7511806392765632,gp
g,159.97734545454625,0.7988241190166839,1.7699631956260524,gp
g,164.42116060606142,0.7246988526810795,1.7860423370193241,gp
g,168.8649757575766,0.6551849007668976,1.7996804193434903,gp
g,173.30879090909178,0.5903025134643,1.8111533685680214,gp
g,177.75260606060695,0.5299695554215118,1.8207323160563575,gp
g,182.19642121212212,0.47402778289599296,1.8286722622826097,gp
g,186.64023636363729,0.42226376952258166,1.8352056365695033,gp
g,191.08405151515245,0.37442545026019086,1.8405391860555245,gp
g,195.52786666666765,0.33023509061473316,1.8448530578992894,gp
g,199.97168181818282,0.2893993527667192,1.8483012606242564,gp
g,204.41549696969798,0.2516170175928415,1.8510129283778087,gp
g,208.85931212121315,0.21658482826736386,1.8530939865073388,gp
g,213.30312727272832,0.18400184423873867,1.8546289446124067,gp
g,217.7469424242435,0.1535726314667534,1.8556826367045762,gp
g,222.19075757575868,0.1250095638633487,1.856301796932868,gp
g,226.63457272727385,0.09803447025718875,1.8565164109652876,gp
g,231.07838787878902,0.07237982956507814,1.8563408234523595,gp
g,235.5222030303042,0.04778969314706488,1.8557746158741537,gp
g,239.96601818181938,0.02402049673795137,1.8548033006530298,gp
g,244.40983333333455,0.0008419143004237996,1.8533989104967374,gp
g,248.8536484848497,-0.021962097745764096,1.8515206001842897,gp
g,253.29746363636488,-0.04459191538425211,1.8491154251207855,gp
g,257.74127878788005,-0.06723036236557237,1.8461195207888805,gp
g,262.18509393939524,-0.09004015327384399,1.842459983600021,gp
g,266.62890909091044,-0.11316047074282085,1.8380578502342364,gp
g,271.0727242424256,-0.1367024553919316,1.8328326919433204,gp
g,275.5165393939408,-0.16074335125881836,1.8267094823290015,gp
g,279.9603545454559,-0.18531900475726687,1.819628555575301,gp
g,284.4041696969711,-0.21041436018798498,1.811559628483489,gp
